,San Francisco,Alameda,San Mateo,Contra Costa,Los Angeles,Santa Clara,"New York (Manhattan), NY","King, WA","Multnomah, OR","Kings (Brooklyn), NY","Cook, IL","Travis, TX"
% Household income <$10K,1.4,1.3,1.2,1.4,2.0,1.3,2.3,1.4,2.0,2.4,2.4,1.8
% Household income $10K-$24K,3.2,3.1,2.9,3.4,5.1,2.6,2.7,2.7,4.3,5.1,5.6,3.5
% Household income $25K-34K,2.3,2.6,2.1,3.0,4.5,2.1,1.7,2.8,4.4,4.6,5.3,3.9
% Household income $35K-$49K,4.1,4.9,4.0,6.0,8.1,4.0,3.3,5.7,9.0,7.9,9.0,7.2
% Household income $50K-$74K,8.3,10.0,8.5,11.9,15.1,8.5,6.0,12.3,17.1,14.2,16.6,14.6
% Household income $75K-$99K,9.5,11.2,9.8,12.2,14.2,9.3,7.3,13.1,16.7,14.2,15.2,14.2
% Household income $100K-$150K,19.3,23.1,20.4,22.9,22.0,20.1,16.6,24.1,24.3,21.6,21.3,23.3
% Household income >$150K,51.8,43.7,51.1,39.2,29.0,52.1,60.2,37.9,22.2,30.0,24.7,31.4
