,San Francisco,Alameda,San Mateo,Contra Costa,Los Angeles,Santa Clara,"New York (Manhattan), NY","King, WA","Multnomah, OR","Kings (Brooklyn), NY","Cook, IL","Travis, TX"
% of Mortgages Valued at <$50K,1.0,1.2,1.0,1.3,1.6,1.1,1.0,1.5,1.9,1.7,2.9,2.2
% of Mortgages Valued at $50-$99K,0.4,0.6,0.5,0.8,0.9,0.6,0.8,0.7,0.8,1.0,8.6,3.2
% of Mortgages Valued at $100K-$299K,2.0,7.0,2.0,14.2,13.1,3.1,4.2,21.5,39.2,8.5,53.1,48.9
% of Mortgages Valued at $300K-$499K,5.8,20.8,6.7,29.8,34.7,10.9,11.7,33.5,36.2,23.5,21.8,26.2
% of Mortgages Valued at $500K-$749K,21.8,31.3,22.8,22.5,25.9,26.6,20.5,23.7,14.9,29.2,7.8,11.9
% of Mortgages Valued at $750K-$999K,24.4,21.8,23.5,14.6,10.7,22.6,15.6,10.8,4.5,15.3,2.9,4.0
% of Mortgages Valued at >$1M,44.5,17.2,43.4,16.8,13.1,35.0,46.0,8.2,2.4,20.8,2.8,3.6
