County Name,State Name,# Migrated from SF County (2017),Margin of Error (+/-)
New York County,New York,1419,657
King County,Washington,1293,336
Multnomah County,Oregon,1094,282
Kings County,New York,887,300
Cook County,Illinois,635,223
